Sample	Unique Reads	Duplicate Reads
SRR10141021_1	820053.0	993528.0
SRR10141021_2	842350.0	971231.0
SRR10141022_1	629918.0	727123.0
SRR10141022_2	645333.0	711708.0
SRR10141023_1	908797.0	598207.0
SRR10141023_2	916918.0	590086.0
SRR10141024_1	957957.0	426833.0
SRR10141024_2	957174.0	427616.0
SRR10141025_1	1008005.0	514056.0
SRR10141025_2	1016714.0	505347.0
SRR10141026_1	1122693.0	791116.0
SRR10141026_2	1140571.0	773238.0
SRR10141027_1	710330.0	1353349.0
SRR10141027_2	737899.0	1325780.0
SRR10141028_1	967251.0	375368.0
SRR10141028_2	968532.0	374087.0
SRR10141029_1	1264437.0	628996.0
SRR10141029_2	1271233.0	622200.0
SRR10141030_1	47499.0	393309.0
SRR10141030_2	86283.0	354525.0
SRR10141031_1	891191.0	347521.0
SRR10141031_2	902543.0	336169.0
SRR10141032_1	1236794.0	578900.0
SRR10141032_2	1253069.0	562625.0
SRR10141033_1	1165449.0	205402.0
SRR10141033_2	1166908.0	203943.0
SRR10141034_1	940218.0	225251.0
SRR10141034_2	942412.0	223057.0
SRR10141035_1	808844.0	411215.0
SRR10141035_2	819713.0	400346.0
SRR10141036_1	1876527.0	347824.0
SRR10141036_2	1886057.0	338294.0
SRR10141037_1	1321969.0	725122.0
SRR10141037_2	1337342.0	709749.0
SRR10141038_1	1533849.0	794329.0
SRR10141038_2	1550930.0	777248.0
SRR10141039_1	847195.0	285702.0
SRR10141039_2	852195.0	280702.0
SRR10141040_1	1141686.0	346015.0
SRR10141040_2	1144626.0	343075.0
SRR10141041_1	71453.0	651417.0
SRR10141041_2	112374.0	610496.0
SRR10141042_1	775504.0	208741.0
SRR10141042_2	779324.0	204921.0
SRR10141043_1	1217181.0	476099.0
SRR10141043_2	1217517.0	475763.0
SRR10141044_1	962571.0	362289.0
SRR10141044_2	966685.0	358175.0
SRR10141045_1	1144676.0	397792.0
SRR10141045_2	1143556.0	398912.0
SRR10141046_1	990715.0	359789.0
SRR10141046_2	996932.0	353572.0
SRR10141047_1	1359925.0	434463.0
SRR10141047_2	1366104.0	428284.0
SRR10141048_1	957514.0	385179.0
SRR10141048_2	953327.0	389366.0
SRR10141049_1	959635.0	348570.0
SRR10141049_2	962487.0	345718.0
SRR10141050_1	966007.0	536533.0
SRR10141050_2	976984.0	525556.0
SRR10141051_1	839088.0	243033.0
SRR10141051_2	843997.0	238124.0
SRR10141052_1	92046.0	1094482.0
SRR10141052_2	154415.0	1032113.0
SRR10141053_1	1260333.0	358582.0
SRR10141053_2	1258648.0	360267.0
SRR10141054_1	3245818.0	2422462.0
SRR10141054_2	3295965.0	2372315.0
SRR10141055_1	1023695.0	412838.0
SRR10141055_2	1029845.0	406688.0
SRR10141056_1	923585.0	352218.0
SRR10141056_2	928260.0	347543.0
SRR10141057_1	1162154.0	530102.0
SRR10141057_2	1171709.0	520547.0
SRR10141058_1	652256.0	237920.0
SRR10141058_2	657556.0	232620.0
SRR10141059_1	736224.0	146657.0
SRR10141059_2	736261.0	146620.0
SRR10141060_1	1361501.0	475798.0
SRR10141060_2	1370940.0	466359.0
SRR10141061_1	1135508.0	353311.0
SRR10141061_2	1142419.0	346400.0
SRR10141062_1	1071124.0	353059.0
SRR10141062_2	1077711.0	346472.0
SRR10141063_1	164109.0	984266.0
SRR10141063_2	275775.0	872600.0
SRR10141064_1	975118.0	162095.0
SRR10141064_2	978396.0	158817.0
SRR10141065_1	907509.0	130776.0
SRR10141065_2	907513.0	130772.0
SRR10141066_1	1197252.0	479983.0
SRR10141066_2	1202251.0	474984.0
SRR10141067_1	739577.0	172147.0
SRR10141067_2	746218.0	165506.0
SRR10141068_1	1121209.0	164553.0
SRR10141068_2	1124346.0	161416.0
SRR10141069_1	55742.0	631840.0
SRR10141069_2	90725.0	596857.0
SRR10141070_1	105055.0	1187789.0
SRR10141070_2	144848.0	1147996.0
SRR10141071_1	1336550.0	445384.0
SRR10141071_2	1348094.0	433840.0
SRR10141072_1	48394.0	524925.0
SRR10141072_2	81169.0	492150.0
SRR10141073_1	123007.0	1361903.0
SRR10141073_2	154481.0	1330429.0
SRR10141074_1	199593.0	1100455.0
SRR10141074_2	305766.0	994282.0
SRR10141075_1	78331.0	777856.0
SRR10141075_2	108705.0	747482.0
SRR10141076_1	71873.0	925729.0
SRR10141076_2	134299.0	863303.0
SRR10141077_1	64467.0	814077.0
SRR10141077_2	119286.0	759258.0
SRR10141078_1	136822.0	1737289.0
SRR10141078_2	225465.0	1648646.0
SRR10141079_1	134695.0	1759653.0
SRR10141079_2	223727.0	1670621.0
SRR10141080_1	152113.0	1928696.0
SRR10141080_2	228508.0	1852301.0
SRR10141081_1	68303.0	888821.0
SRR10141081_2	113800.0	843324.0
SRR10141082_1	51729.0	558212.0
SRR10141082_2	67126.0	542815.0
SRR10141083_1	821213.0	329979.0
SRR10141083_2	866524.0	284668.0
SRR10141084_1	49412.0	621075.0
SRR10141084_2	80436.0	590051.0
SRR10141085_1	209785.0	2854748.0
SRR10141085_2	287825.0	2776708.0
SRR10141086_1	81120.0	856568.0
SRR10141086_2	100454.0	837234.0
SRR10141087_1	63985.0	789808.0
SRR10141087_2	91658.0	762135.0
SRR10141088_1	64307.0	732499.0
SRR10141088_2	100997.0	695809.0
SRR10141089_1	57659.0	647909.0
SRR10141089_2	88190.0	617378.0
SRR10141090_1	52260.0	654629.0
SRR10141090_2	74065.0	632824.0
SRR10141091_1	61451.0	675479.0
SRR10141091_2	85193.0	651737.0
SRR10141092_1	55424.0	579306.0
SRR10141092_2	66948.0	567782.0
SRR10141093_1	54236.0	551108.0
SRR10141093_2	68333.0	537011.0
SRR10141094_1	73516.0	858340.0
SRR10141094_2	120320.0	811536.0
SRR10141095_1	110525.0	1314002.0
SRR10141095_2	175541.0	1248986.0
SRR10141096_1	113765.0	1500678.0
SRR10141096_2	163042.0	1451401.0
SRR10141097_1	94381.0	1298245.0
SRR10141097_2	143176.0	1249450.0
SRR10141098_1	49780.0	475656.0
SRR10141098_2	68290.0	457146.0
SRR10141099_1	52122.0	512597.0
SRR10141099_2	81899.0	482820.0
SRR10141100_1	50004.0	480046.0
SRR10141100_2	75862.0	454188.0
SRR10141101_1	69714.0	683662.0
SRR10141101_2	95724.0	657652.0
SRR10141102_1	64204.0	686676.0
SRR10141102_2	82185.0	668695.0
SRR10141103_1	56935.0	631307.0
SRR10141103_2	74948.0	613294.0
SRR10141104_1	121295.0	1346114.0
SRR10141104_2	185861.0	1281548.0
SRR10141105_1	228440.0	2822750.0
SRR10141105_2	346687.0	2704503.0
SRR10141106_1	50528.0	530337.0
SRR10141106_2	66878.0	513987.0
SRR10141107_1	138188.0	1355035.0
SRR10141107_2	191439.0	1301784.0
SRR10141108_1	84467.0	1111797.0
SRR10141108_2	116223.0	1080041.0
SRR10141109_1	82104.0	970883.0
