Sample	Reads passing filters
SRR10141021_1	1813581.0
SRR10141021_2	1813581.0
SRR10141022_1	1357041.0
SRR10141022_2	1357041.0
SRR10141023_1	1507004.0
SRR10141023_2	1507004.0
SRR10141024_1	1384790.0
SRR10141024_2	1384790.0
SRR10141025_1	1522061.0
SRR10141025_2	1522061.0
SRR10141026_1	1913809.0
SRR10141026_2	1913809.0
SRR10141027_1	2063679.0
SRR10141027_2	2063679.0
SRR10141028_1	1342619.0
SRR10141028_2	1342619.0
SRR10141029_1	1893433.0
SRR10141029_2	1893433.0
SRR10141030_1	440808.0
SRR10141030_2	440808.0
SRR10141031_1	1238712.0
SRR10141031_2	1238712.0
SRR10141032_1	1815694.0
SRR10141032_2	1815694.0
SRR10141033_1	1370851.0
SRR10141033_2	1370851.0
SRR10141034_1	1165469.0
SRR10141034_2	1165469.0
SRR10141035_1	1220059.0
SRR10141035_2	1220059.0
SRR10141036_1	2224351.0
SRR10141036_2	2224351.0
SRR10141037_1	2047091.0
SRR10141037_2	2047091.0
SRR10141038_1	2328178.0
SRR10141038_2	2328178.0
SRR10141039_1	1132897.0
SRR10141039_2	1132897.0
SRR10141040_1	1487701.0
SRR10141040_2	1487701.0
SRR10141041_1	722870.0
SRR10141041_2	722870.0
SRR10141042_1	984245.0
SRR10141042_2	984245.0
SRR10141043_1	1693280.0
SRR10141043_2	1693280.0
SRR10141044_1	1324860.0
SRR10141044_2	1324860.0
SRR10141045_1	1542468.0
SRR10141045_2	1542468.0
SRR10141046_1	1350504.0
SRR10141046_2	1350504.0
SRR10141047_1	1794388.0
SRR10141047_2	1794388.0
SRR10141048_1	1342693.0
SRR10141048_2	1342693.0
SRR10141049_1	1308205.0
SRR10141049_2	1308205.0
SRR10141050_1	1502540.0
SRR10141050_2	1502540.0
SRR10141051_1	1082121.0
SRR10141051_2	1082121.0
SRR10141052_1	1186528.0
SRR10141052_2	1186528.0
SRR10141053_1	1618915.0
SRR10141053_2	1618915.0
SRR10141054_1	5668280.0
SRR10141054_2	5668280.0
SRR10141055_1	1436533.0
SRR10141055_2	1436533.0
SRR10141056_1	1275803.0
SRR10141056_2	1275803.0
SRR10141057_1	1692256.0
SRR10141057_2	1692256.0
SRR10141058_1	890176.0
SRR10141058_2	890176.0
SRR10141059_1	882881.0
SRR10141059_2	882881.0
SRR10141060_1	1837299.0
SRR10141060_2	1837299.0
SRR10141061_1	1488819.0
SRR10141061_2	1488819.0
SRR10141062_1	1424183.0
SRR10141062_2	1424183.0
SRR10141063_1	1148375.0
SRR10141063_2	1148375.0
SRR10141064_1	1137213.0
SRR10141064_2	1137213.0
SRR10141065_1	1038285.0
SRR10141065_2	1038285.0
SRR10141066_1	1677235.0
SRR10141066_2	1677235.0
SRR10141067_1	911724.0
SRR10141067_2	911724.0
SRR10141068_1	1285762.0
SRR10141068_2	1285762.0
SRR10141069_1	687582.0
SRR10141069_2	687582.0
SRR10141070_1	1292844.0
SRR10141070_2	1292844.0
SRR10141071_1	1781934.0
SRR10141071_2	1781934.0
SRR10141072_1	573319.0
SRR10141072_2	573319.0
SRR10141073_1	1484910.0
SRR10141073_2	1484910.0
SRR10141074_1	1300048.0
SRR10141074_2	1300048.0
SRR10141075_1	856187.0
SRR10141075_2	856187.0
SRR10141076_1	997602.0
SRR10141076_2	997602.0
SRR10141077_1	878544.0
SRR10141077_2	878544.0
SRR10141078_1	1874111.0
SRR10141078_2	1874111.0
SRR10141079_1	1894348.0
SRR10141079_2	1894348.0
SRR10141080_1	2080809.0
SRR10141080_2	2080809.0
SRR10141081_1	957124.0
SRR10141081_2	957124.0
SRR10141082_1	609941.0
SRR10141082_2	609941.0
SRR10141083_1	1151192.0
SRR10141083_2	1151192.0
SRR10141084_1	670487.0
SRR10141084_2	670487.0
SRR10141085_1	3064533.0
SRR10141085_2	3064533.0
SRR10141086_1	937688.0
SRR10141086_2	937688.0
SRR10141087_1	853793.0
SRR10141087_2	853793.0
SRR10141088_1	796806.0
SRR10141088_2	796806.0
SRR10141089_1	705568.0
SRR10141089_2	705568.0
SRR10141090_1	706889.0
SRR10141090_2	706889.0
SRR10141091_1	736930.0
SRR10141091_2	736930.0
SRR10141092_1	634730.0
SRR10141092_2	634730.0
SRR10141093_1	605344.0
SRR10141093_2	605344.0
SRR10141094_1	931856.0
SRR10141094_2	931856.0
SRR10141095_1	1424527.0
SRR10141095_2	1424527.0
SRR10141096_1	1614443.0
SRR10141096_2	1614443.0
SRR10141097_1	1392626.0
SRR10141097_2	1392626.0
SRR10141098_1	525436.0
SRR10141098_2	525436.0
SRR10141099_1	564719.0
SRR10141099_2	564719.0
SRR10141100_1	530050.0
SRR10141100_2	530050.0
SRR10141101_1	753376.0
SRR10141101_2	753376.0
SRR10141102_1	750880.0
SRR10141102_2	750880.0
SRR10141103_1	688242.0
SRR10141103_2	688242.0
SRR10141104_1	1467409.0
SRR10141104_2	1467409.0
SRR10141105_1	3051190.0
SRR10141105_2	3051190.0
SRR10141106_1	580865.0
SRR10141106_2	580865.0
SRR10141107_1	1493223.0
SRR10141107_2	1493223.0
SRR10141108_1	1196264.0
SRR10141108_2	1196264.0
SRR10141109_1	1052987.0
SRR10141109_2	1052987.0
SRR10141110_1	564965.0
SRR10141110_2	564965.0
SRR10141111_1	593872.0
SRR10141111_2	593872.0
SRR10141112_1	485916.0
SRR10141112_2	485916.0
SRR10141113_1	280058.0
SRR10141113_2	280058.0
SRR10141114_1	223464.0
SRR10141114_2	223464.0
SRR10141115_1	347308.0
SRR10141115_2	347308.0
SRR10141116_1	1646742.0
SRR10141116_2	1646742.0
SRR10141117_1	1330912.0
SRR10141117_2	1330912.0
SRR10141118_1	1105003.0
SRR10141118_2	1105003.0
SRR10141119_1	1315972.0
SRR10141119_2	1315972.0
