Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR10141021_1	0.0	0.0
SRR10141021_2	0.0	0.0
SRR10141022_1	0.0	0.0
SRR10141022_2	0.0	0.0
SRR10141023_1	0.0	0.0
SRR10141023_2	0.2283338332214115	0.0
SRR10141024_1	0.0	0.0
SRR10141024_2	0.6617609890308278	0.0
SRR10141025_1	0.0	0.0
SRR10141025_2	0.1475630740160874	0.0
SRR10141026_1	0.0	0.0
SRR10141026_2	0.1623986510670605	0.0
SRR10141027_1	0.0	0.0
SRR10141027_2	0.0	0.0
SRR10141028_1	0.0	0.0
SRR10141028_2	0.37076787979315057	0.0
SRR10141029_1	0.0	0.0
SRR10141029_2	0.5348486056807925	0.0
SRR10141030_1	5.6634634580134655	31.565897170650274
SRR10141030_2	0.7089254278506743	28.609734850547184
SRR10141031_1	0.0	0.0
SRR10141031_2	0.0	0.0
SRR10141032_1	0.0	0.0
SRR10141032_2	0.0	0.0
SRR10141033_1	0.0	0.0
SRR10141033_2	0.0	0.0
SRR10141034_1	0.0	0.0
SRR10141034_2	0.0	0.0
SRR10141035_1	0.0	0.0
SRR10141035_2	0.0	0.0
SRR10141036_1	0.0	0.0
SRR10141036_2	0.0	0.0
SRR10141037_1	0.0	0.0
SRR10141037_2	0.0	0.0
SRR10141038_1	0.0	0.0
SRR10141038_2	0.10317080566863875	0.0
SRR10141039_1	0.0	0.0
SRR10141039_2	0.0	0.0
SRR10141040_1	0.0	0.0
SRR10141040_2	0.0	0.0
SRR10141041_1	3.2882814337294395	29.371256242477905
SRR10141041_2	1.4006667865591322	26.385795509566023
SRR10141042_1	0.0	0.0
SRR10141042_2	0.0	0.0
SRR10141043_1	0.0	0.0
SRR10141043_2	0.0	0.0
SRR10141044_1	0.0	0.0
SRR10141044_2	0.0	0.0
SRR10141045_1	0.0	0.0
SRR10141045_2	0.0	0.0
SRR10141046_1	0.0	0.0
SRR10141046_2	0.14046607784945472	0.0
SRR10141047_1	0.0	0.0
SRR10141047_2	0.0	0.0
SRR10141048_1	0.0	0.0
SRR10141048_2	0.0	0.0
SRR10141049_1	0.0	0.0
