Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10141021_1	54.782684547892146	48.0	151.0	20.0	1813581.0
SRR10141021_2	53.553241701141104	48.0	151.0	20.0	1813581.0
SRR10141022_1	53.58150569380707	49.0	151.0	20.0	1357041.0
SRR10141022_2	52.445650972432055	49.0	151.0	30.0	1357041.0
SRR10141023_1	39.695152590878216	46.0	151.0	0.0	1507004.0
SRR10141023_2	39.15627395764382	46.0	151.0	0.0	1507004.0
SRR10141024_1	30.82295295189836	47.0	151.0	0.0	1384790.0
SRR10141024_2	30.879519196895714	47.0	151.0	0.0	1384790.0
SRR10141025_1	33.77372846271062	47.0	151.0	10.0	1522061.0
SRR10141025_2	33.20150026245216	47.0	151.0	0.0	1522061.0
SRR10141026_1	41.33725689438664	46.0	151.0	10.0	1913809.0
SRR10141026_2	40.40310199068777	46.0	151.0	10.0	1913809.0
SRR10141027_1	65.57946043368969	50.0	151.0	30.0	2063679.0
SRR10141027_2	64.24355662307534	50.0	151.0	20.0	2063679.0
SRR10141028_1	27.95789954106398	47.0	151.0	10.0	1342619.0
SRR10141028_2	27.862549441507866	47.0	151.0	10.0	1342619.0
SRR10141029_1	33.219910663250346	46.0	151.0	10.0	1893433.0
SRR10141029_2	32.86098491798745	46.0	151.0	10.0	1893433.0
SRR10141030_1	89.22456035280666	48.0	151.0	27.27272727272727	440808.0
SRR10141030_2	80.4261719388033	48.0	151.0	27.27272727272727	440808.0
SRR10141031_1	28.05504848103459	46.0	151.0	10.0	1238712.0
SRR10141031_2	27.138657635114	46.0	151.0	10.0	1238712.0
SRR10141032_1	31.883173308400018	46.0	151.0	10.0	1815694.0
SRR10141032_2	30.986776213937063	46.0	151.0	10.0	1815694.0
SRR10141033_1	14.983549689633819	44.0	145.47863480422015	10.0	1370851.0
SRR10141033_2	14.87715216894334	43.0	145.51731953363276	10.0	1370851.0
SRR10141034_1	19.327130224048275	44.0	145.90196907854263	10.0	1165469.0
SRR10141034_2	19.13889998299709	44.0	145.935711717772	10.0	1165469.0
SRR10141035_1	33.70459535782659	47.0	151.0	10.0	1220059.0
SRR10141035_2	32.81367917321212	46.0	151.0	10.0	1220059.0
SRR10141036_1	15.63713973871323	44.0	151.0	10.0	2224351.0
SRR10141036_2	15.208672550673839	44.0	151.0	10.0	2224351.0
SRR10141037_1	35.42207116605823	47.0	151.0	10.0	2047091.0
SRR10141037_2	34.67112349888876	47.0	151.0	10.0	2047091.0
SRR10141038_1	34.118095113002596	47.0	151.0	10.0	2328178.0
SRR10141038_2	33.38439726597005	47.0	151.0	10.0	2328178.0
SRR10141039_1	25.218760595014572	48.0	151.0	9.090909090909092	1132897.0
SRR10141039_2	24.77738248009655	48.0	151.0	9.090909090909092	1132897.0
SRR10141040_1	23.258423546523517	47.0	151.0	9.090909090909092	1487701.0
SRR10141040_2	23.06077571959706	47.0	151.0	9.090909090909092	1487701.0
SRR10141041_1	90.11537344197436	47.0	151.0	27.27272727272727	722870.0
SRR10141041_2	84.45454347378954	47.0	151.0	27.27272727272727	722870.0
SRR10141042_1	21.208260752083973	47.0	151.0	9.090909090909092	984245.0
SRR10141042_2	20.82013221948145	47.0	151.0	9.090909090909092	984245.0
SRR10141043_1	28.117004763784607	47.0	126.0	0.0	1693280.0
SRR10141043_2	28.097131879264992	47.0	126.0	0.0	1693280.0
SRR10141044_1	27.345489823295623	48.0	126.0	0.0	1324860.0
SRR10141044_2	27.03500023514026	47.0	126.0	0.0	1324860.0
SRR10141045_1	25.789341524407448	47.0	126.0	0.0	1542468.0
SRR10141045_2	25.861993725895957	47.0	126.0	0.0	1542468.0
SRR10141046_1	26.64114465843484	47.0	151.0	10.0	1350504.0
SRR10141046_2	26.180768954752608	47.0	151.0	10.0	1350504.0
