Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141057_2	SRR10141057_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1692256.0	0.0	151.0	47.0	69.23943332585696	151.0	pass	pass	pass	warn	warn	pass	pass	warn	pass	fail	
SRR10141058_1	SRR10141058_1.fastq	Conventional base calls	Sanger / Illumina 1.9	890176.0	0.0	151.0	47.0	73.27261139093132	151.0	pass	fail	pass	pass	warn	pass	pass	pass	pass	warn	pass
SRR10141058_2	SRR10141058_2.fastq	Conventional base calls	Sanger / Illumina 1.9	890176.0	0.0	151.0	47.0	73.86798761699865	151.0	pass	fail	pass	pass	warn	pass	pass	pass	pass	warn	pass
SRR10141059_1	SRR10141059_1.fastq	Conventional base calls	Sanger / Illumina 1.9	882881.0	0.0	151.0	47.0	83.38877425453437	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	fail	pass
SRR10141059_2	SRR10141059_2.fastq	Conventional base calls	Sanger / Illumina 1.9	882881.0	0.0	151.0	47.0	83.39293725837022	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	fail	pass
SRR10141060_1	SRR10141060_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1837299.0	0.0	151.0	47.0	74.10339788193248	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	fail	
SRR10141060_2	SRR10141060_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1837299.0	0.0	151.0	47.0	74.6170981151202	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141061_1	SRR10141061_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1488819.0	0.0	35-151	47.0	76.26899033939182	145.30699970916544	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141061_2	SRR10141061_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1488819.0	0.0	35-151	47.0	76.73318198420802	145.33259449268178	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	
SRR10141062_1	SRR10141062_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1424183.0	0.0	35-151	48.0	75.20965485132919	143.1421734425983	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRR10141062_2	SRR10141062_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1424183.0	0.0	35-151	47.0	75.67222669421724	143.22280001937952	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	
SRR10141063_1	SRR10141063_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1148375.0	0.0	151.0	49.0	14.290497274352393	151.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail	
SRR10141063_2	SRR10141063_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1148375.0	0.0	151.0	50.0	24.01429385064732	151.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail	
SRR10141064_1	SRR10141064_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1137213.0	0.0	151.0	48.0	85.74627626134493	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141064_2	SRR10141064_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1137213.0	0.0	151.0	48.0	86.03450144226498	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141065_1	SRR10141065_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1038285.0	0.0	151.0	48.0	87.40457572690083	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141065_2	SRR10141065_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1038285.0	0.0	151.0	48.0	87.40494472473128	151.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail	
SRR10141066_1	SRR10141066_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1677235.0	0.0	151.0	47.0	71.38242934452478	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141066_2	SRR10141066_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1677235.0	0.0	151.0	47.0	71.68048360822361	151.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail	
SRR10141067_1	SRR10141067_1.fastq	Conventional base calls	Sanger / Illumina 1.9	911724.0	0.0	151.0	47.0	81.11849877599612	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
SRR10141067_2	SRR10141067_2.fastq	Conventional base calls	Sanger / Illumina 1.9	911724.0	0.0	151.0	47.0	81.84680957030015	151.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail	pass
SRR10141068_1	SRR10141068_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1285762.0	0.0	151.0	45.0	87.20186747852946	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	
SRR10141068_2	SRR10141068_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1285762.0	0.0	151.0	45.0	87.44586031159466	151.0	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail	
SRR10141069_1	SRR10141069_1.fastq	Conventional base calls	Sanger / Illumina 1.9	687582.0	0.0	151.0	47.0	8.106960333458408	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141069_2	SRR10141069_2.fastq	Conventional base calls	Sanger / Illumina 1.9	687582.0	0.0	151.0	47.0	13.194789857791505	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141070_1	SRR10141070_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1292844.0	0.0	151.0	44.0	8.125813840661392	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	
SRR10141070_2	SRR10141070_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1292844.0	0.0	151.0	44.0	11.203773504389805	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	
